监测点id,方向,卡口经度,卡口纬度
10301101,南往北,113.924444,22.530019
10300201,东往西,113.960719,22.556511
02010052,东行,113.980194,22.561253
10300602,西往东,113.930419,22.542983
10300207,东往西,113.960719,22.556511
10300501,东往西,113.928855,22.524808
10300213,东往西,113.983494,22.558397
02010049,东行,113.931592,22.571494
10306101,南往北,113.904975,22.547833
02010055,南行,113.927669,22.505644
02010050,西行,113.931592,22.571494
10300202,西往东,113.957739,22.556367
02010402,东行,0.000000,0.000000
02010047,南行,113.918417,22.505892
02010048,北行,113.918417,22.505892
10300505,东往西,113.960836,22.522978
02010404,西行,0.000000,0.000000
02010072,东行,114.319455,22.601795
02010070,西行,114.164200,22.352100
02010408,东行,0.000000,0.000000
02010403,东行,0.000000,0.000000
02010074,西行,114.178889,22.559106
20400803,西往东,114.272933,22.591336
20400802,西往东,114.228950,22.567286
02010409,西行,0.000000,0.000000
20400804,东往西,114.272933,22.591336
10403701,西行,114.219667,22.557289
02010073,西行,114.319482,22.607537
20400806,西往东,114.295569,22.600992
02010410,北行,0.000000,0.000000
02010407,西行,0.000000,0.000000
30603601,西往东,114.334206,22.602939
02010071,东行,114.219667,22.557289
20400805,西往东,114.283631,22.590239
02010069,东行,114.164200,22.352100
20400801,东往西,114.228950,22.567286
02010306,南行,113.820376,22.698662
02010305,北行,113.820699,22.698466
02010292,北行,0.000000,0.000000
02010290,北行,0.000000,0.000000
02010294,北行,113.874447,22.562682
02010293,南行,113.873464,22.562044
02010289,南行,0.000000,0.000000
02010311,东行,113.956427,22.686497
02010307,北行,113.932457,22.620792
02010282,西行,0.000000,0.000000
02010281,东行,0.000000,0.000000
02010286,南行,0.000000,0.000000
02010285,北行,0.000000,0.000000
02010284,东行,0.000000,0.000000
02010291,南行,0.000000,0.000000
02010288,北行,0.000000,0.000000
02010287,南行,0.000000,0.000000
02010136,西往东,113.899374,22.662057
02010296,北行,113.922253,22.563274
02010280,东行,0.000000,0.000000
02010279,西行,0.000000,0.000000
02010129,北行,113.830233,22.594542
02010126,南行,113.835811,22.572292
02010283,西行,0.000000,0.000000
02010134,南行,113.807551,22.622011
02010295,南行,113.921817,22.563491
02010327,北行,0.000000,0.000000
02010326,南行,0.000000,0.000000
02010328,南行,0.000000,0.000000
02010128,南行,113.830233,22.594542
02010127,北行,113.835811,22.572292
02010322,东行,0.000000,0.000000
02010321,西行,0.000000,0.000000
02010323,北行,0.000000,0.000000
02010325,北行,0.000000,0.000000
02010324,南行,0.000000,0.000000
02010037,北行,113.861256,22.557400
02010023,北行,113.865764,22.846925
02010040,南行,113.811453,22.605347
02010249,北行,113.853453,22.607051
02010248,南行,113.853453,22.607051
02010036,南行,113.874819,22.542300
20507302,西往东,113.824647,22.614894
02010039,北行,113.816261,22.595561
02010041,北行,113.768153,22.670372
02010320,北行,113.971697,22.703077
02010304,北行,113.828161,22.655420
02010303,南行,113.828431,22.655504
02010308,北行,113.936908,22.679540
02010310,南行,113.938941,22.687458
02010309,西行,113.945737,22.685864
02010299,北行,113.888289,22.585732
02010298,南行,113.888051,22.585552
02010300,南行,113.932156,22.621355
02010302,北行,113.839718,22.707998
02010301,南行,113.839475,22.708061
02010314,西行,113.980852,22.689492
02010313,东行,113.978032,22.689334
02010315,南行,113.931324,22.622080
02010319,南行,113.971796,22.703431
02010316,北行,113.931458,22.622380
02010317,南行,113.903413,22.668430
02010312,南行,113.972017,22.703744
02010318,北行,113.903606,22.668939
02010044,南行,113.865556,22.846667
02010024,南行,113.841731,22.800597
20501805,南往北,113.904886,22.587097
02010038,南行,113.847942,22.568647
20501701,北往南,113.909197,22.561917
20507303,西往东,113.844703,22.622033
20507301,东往西,113.824647,22.614894
20507304,东往西,113.844703,22.622033
20504702,北往南,113.920983,22.614531
02010135,西往东,113.885343,22.659906
20503402,东往西,113.885583,22.593078
02010053,南行,113.895789,22.552503
02010042,南行,113.775556,22.682606
02010043,南行,113.760206,22.718431
20501401,北往南,113.903708,22.557808
20501402,南往北,113.892844,22.567061
20504203,北往南,113.892136,22.556019
20501403,北往南,113.892844,22.567061
20501412,南往北,113.843411,22.751108
20504701,南往北,113.916697,22.590153
20501804,南往北,113.847642,22.717028
20501808,北往南,113.827869,22.662556
20504202,南往北,113.892136,22.556019
20501809,南往北,113.827869,22.662556
20501411,北往南,113.828169,22.800211
20501410,南往北,113.828169,22.800211
20503401,西往东,113.885583,22.593078
20501413,北往南,113.843411,22.751108
20501803,北往南,113.904886,22.587097
20501408,南往北,113.822556,22.654419
20501409,北往南,113.822553,22.659639
20501811,南往北,113.844617,22.632958
20501810,北往南,113.844617,22.632958
20504501,北往南,113.815389,22.651847
20501802,北往南,113.847642,22.717028
20504205,北往南,113.812581,22.708319
20504204,南往北,113.812581,22.708319
20501407,北往南,113.823847,22.669456
20501406,南往北,113.823847,22.669456
20501405,北往南,113.858747,22.607194
20504201,南往北,113.821686,22.785386
20501404,南往北,113.858747,22.607194
